2025-12-12 06:20:25 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:20:25 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'ORDER BY Date DESC' at line 3"}
2025-12-12 06:20:27 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:20:27 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:20:27 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'ORDER BY Date DESC' at line 3"}
2025-12-12 06:21:43 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:21:43 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:22:00 | INFO | API request received | {"method":"wallet.list","uni_id":"48","filters":[]}
2025-12-12 06:22:00 | INFO | Fetching wallet list | {"uni_id":"48","filters":[]}
2025-12-12 06:22:04 | INFO | API request received | {"method":"student.list","uni_id":"48","filters":[]}
2025-12-12 06:22:04 | INFO | Fetching student list | {"uni_id":"48","filters":[]}
2025-12-12 06:23:49 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-12 06:23:49 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-12 06:26:40 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-12 06:26:40 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-12 06:27:27 | INFO | API request received | {"method":"user.list","uni_id":"47","filters":[]}
2025-12-12 06:27:27 | INFO | Fetching user list | {"uni_id":"47","filters":[]}
2025-12-12 06:27:52 | INFO | API request received | {"method":"user.list","uni_id":"47","filters":[]}
2025-12-12 06:27:52 | INFO | Fetching user list | {"uni_id":"47","filters":[]}
2025-12-12 06:28:40 | INFO | API request received | {"method":"user.list","uni_id":"47","filters":[]}
2025-12-12 06:28:40 | INFO | Fetching user list | {"uni_id":"47","filters":[]}
2025-12-12 06:30:35 | INFO | API request received | {"method":"user.list","uni_id":"47","filters":[]}
2025-12-12 06:30:35 | INFO | Fetching user list | {"uni_id":"47","filters":[]}
2025-12-12 06:35:01 | INFO | API request received | {"method":"student.list","uni_id":"48","filters":[]}
2025-12-12 06:35:01 | INFO | Fetching student list | {"uni_id":"48","filters":[]}
2025-12-12 06:35:13 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:35:13 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
